Barcode,Cluster
1,Macrophages_1
2,Stromal
3,Stromal
4,Macrophages_1
5,CD8+_T_Cells
6,CD4+_T_Cells
7,CD8+_T_Cells
8,CD4+_T_Cells
9,CD8+_T_Cells
10,CD8+_T_Cells
11,CD4+_T_Cells
12,Macrophages_1
13,CD8+_T_Cells
14,Stromal
15,Stromal
16,CD8+_T_Cells
17,B_Cells
18,Stromal
19,Macrophages_1
20,Stromal
21,Stromal
22,CD4+_T_Cells
23,Stromal
24,Macrophages_1
25,Invasive_Tumor
26,Invasive_Tumor
27,Invasive_Tumor
28,Invasive_Tumor
29,Invasive_Tumor
30,T_Cell_&_Tumor_Hybrid
31,CD8+_T_Cells
32,Invasive_Tumor
33,Macrophages_1
34,Invasive_Tumor
35,Macrophages_1
36,Prolif_Invasive_Tumor
37,Invasive_Tumor
38,CD4+_T_Cells
39,Stromal
40,Stromal
41,Unlabeled
42,CD4+_T_Cells
43,Stromal
44,B_Cells
45,Macrophages_2
46,CD4+_T_Cells
47,Invasive_Tumor
48,Invasive_Tumor
49,Stromal
50,Invasive_Tumor
51,Invasive_Tumor
52,Stromal
53,Stromal
54,Stromal
55,CD4+_T_Cells
56,CD4+_T_Cells
57,Macrophages_1
58,Stromal
59,CD4+_T_Cells
60,Invasive_Tumor
61,Unlabeled
62,Stromal
63,Unlabeled
64,CD8+_T_Cells
65,Unlabeled
66,CD8+_T_Cells
67,Macrophages_1
68,Stromal
69,Unlabeled
70,Macrophages_1
71,Macrophages_1
72,Macrophages_1
73,Stromal_&_T_Cell_Hybrid
74,Macrophages_1
75,Macrophages_1
76,Macrophages_1
77,Stromal
78,Stromal
79,Invasive_Tumor
80,Stromal
81,Invasive_Tumor
82,Prolif_Invasive_Tumor
83,Stromal
84,Unlabeled
85,CD8+_T_Cells
86,Stromal
87,B_Cells
88,Macrophages_1
89,Stromal
90,B_Cells
91,DCIS_1
92,DCIS_1
93,DCIS_1
94,DCIS_1
95,DCIS_1
96,DCIS_1
97,DCIS_1
98,DCIS_1
99,DCIS_1
100,DCIS_1
101,DCIS_1
102,Unlabeled
103,DCIS_1
104,DCIS_1
105,DCIS_1
106,DCIS_1
107,DCIS_1
108,DCIS_1
109,DCIS_1
110,DCIS_1
111,DCIS_1
112,DCIS_1
113,DCIS_1
114,DCIS_1
115,DCIS_1
116,DCIS_1
117,DCIS_1
118,DCIS_1
119,Unlabeled
120,DCIS_1
121,DCIS_1
122,Unlabeled
123,DCIS_1
124,DCIS_1
125,DCIS_1
126,DCIS_1
127,DCIS_1
128,Macrophages_1
129,DCIS_1
130,Endothelial
131,DCIS_1
132,DCIS_1
133,DCIS_1
134,DCIS_1
135,Myoepi_ACTA2+
136,DCIS_1
137,DCIS_1
138,DCIS_1
139,DCIS_1
140,DCIS_1
141,DCIS_1
142,DCIS_1
143,DCIS_1
144,DCIS_1
145,Stromal
146,DCIS_1
147,DCIS_1
148,DCIS_1
149,DCIS_1
150,DCIS_1
151,DCIS_1
152,DCIS_1
153,DCIS_1
154,DCIS_1
155,DCIS_1
156,DCIS_1
157,DCIS_1
158,DCIS_1
159,DCIS_1
160,DCIS_1
161,DCIS_1
162,Stromal
163,DCIS_1
164,Myoepi_ACTA2+
165,Myoepi_ACTA2+
166,Myoepi_ACTA2+
167,DCIS_1
168,Myoepi_ACTA2+
169,DCIS_1
170,Macrophages_1
171,Myoepi_ACTA2+
172,DCIS_1
173,T_Cell_&_Tumor_Hybrid
174,Myoepi_ACTA2+
175,Myoepi_ACTA2+
176,Myoepi_ACTA2+
177,Myoepi_ACTA2+
178,Myoepi_ACTA2+
179,Myoepi_ACTA2+
180,Myoepi_ACTA2+
181,Stromal
182,DCIS_1
183,Stromal
184,Stromal
185,Stromal
186,Stromal
187,B_Cells
188,Macrophages_1
189,B_Cells
190,B_Cells
191,Unlabeled
192,Stromal_&_T_Cell_Hybrid
193,CD4+_T_Cells
194,Stromal
195,Macrophages_2
196,Stromal
197,Unlabeled
198,B_Cells
199,Unlabeled
200,CD4+_T_Cells
201,B_Cells
202,Unlabeled
203,Macrophages_1
204,CD8+_T_Cells
205,Macrophages_1
206,CD8+_T_Cells
207,Unlabeled
208,Macrophages_1
209,CD8+_T_Cells
210,T_Cell_&_Tumor_Hybrid
211,CD4+_T_Cells
212,CD4+_T_Cells
213,CD4+_T_Cells
214,CD4+_T_Cells
215,CD8+_T_Cells
216,CD8+_T_Cells
217,CD4+_T_Cells
218,Endothelial
219,CD4+_T_Cells
220,CD8+_T_Cells
221,CD4+_T_Cells
222,Macrophages_1
223,Unlabeled
224,Stromal
225,Stromal
226,DCIS_1
227,DCIS_1
228,DCIS_1
229,DCIS_1
230,DCIS_1
231,DCIS_1
232,DCIS_1
233,DCIS_1
234,DCIS_1
235,DCIS_1
236,DCIS_1
237,Unlabeled
238,Macrophages_1
239,DCIS_2
240,DCIS_2
241,DCIS_1
242,DCIS_1
243,DCIS_1
244,DCIS_1
245,Macrophages_1
246,Macrophages_1
247,DCIS_1
248,Invasive_Tumor
249,Macrophages_1
250,Unlabeled
251,Macrophages_1
252,Macrophages_1
253,Macrophages_1
254,Unlabeled
255,Macrophages_1
256,Unlabeled
257,Macrophages_1
258,Macrophages_1
259,DCIS_1
260,Macrophages_1
261,Unlabeled
262,Macrophages_1
263,Macrophages_1
264,Macrophages_1
265,Macrophages_1
266,Invasive_Tumor
267,Macrophages_1
268,Invasive_Tumor
269,Macrophages_1
270,Macrophages_1
271,Macrophages_1
272,DCIS_1
273,Macrophages_1
274,Macrophages_1
275,Macrophages_1
276,Unlabeled
277,Macrophages_1
278,Macrophages_1
279,Macrophages_1
280,Macrophages_1
281,CD8+_T_Cells
282,CD8+_T_Cells
283,Endothelial
284,Endothelial
285,CD8+_T_Cells
286,CD4+_T_Cells
287,Macrophages_1
288,CD8+_T_Cells
289,Myoepi_ACTA2+
290,Myoepi_ACTA2+
291,Macrophages_1
292,Stromal
293,Unlabeled
294,Myoepi_ACTA2+
295,Myoepi_ACTA2+
296,Macrophages_1
297,Myoepi_ACTA2+
298,Myoepi_ACTA2+
299,Macrophages_1
300,B_Cells
301,Myoepi_ACTA2+
302,B_Cells
303,CD8+_T_Cells
304,B_Cells
305,Macrophages_1
306,Macrophages_1
307,Macrophages_1
308,Macrophages_1
309,CD8+_T_Cells
310,Stromal
311,CD8+_T_Cells
312,Mast_Cells
313,B_Cells
314,CD8+_T_Cells
315,Macrophages_1
316,Macrophages_1
317,Macrophages_1
318,Macrophages_1
319,CD8+_T_Cells
320,Macrophages_1
321,Macrophages_1
322,Macrophages_1
323,Macrophages_1
324,CD8+_T_Cells
325,Macrophages_1
326,Macrophages_1
327,Macrophages_1
328,Myoepi_ACTA2+
329,Myoepi_ACTA2+
330,Unlabeled
331,CD8+_T_Cells
332,Myoepi_ACTA2+
333,Endothelial
334,Macrophages_1
335,Unlabeled
336,Unlabeled
337,B_Cells
338,CD8+_T_Cells
339,Stromal
340,CD8+_T_Cells
341,Macrophages_1
342,Prolif_Invasive_Tumor
343,Invasive_Tumor
344,Invasive_Tumor
345,Invasive_Tumor
346,Invasive_Tumor
347,Invasive_Tumor
348,Macrophages_1
349,Stromal
350,Invasive_Tumor
351,Macrophages_1
352,Invasive_Tumor
353,Invasive_Tumor
354,Invasive_Tumor
355,Invasive_Tumor
356,Invasive_Tumor
357,Prolif_Invasive_Tumor
358,Prolif_Invasive_Tumor
359,Invasive_Tumor
360,Invasive_Tumor
361,Invasive_Tumor
362,Prolif_Invasive_Tumor
363,Invasive_Tumor
364,Invasive_Tumor
365,Invasive_Tumor
366,Invasive_Tumor
367,Invasive_Tumor
368,Invasive_Tumor
369,Invasive_Tumor
370,Invasive_Tumor
371,Invasive_Tumor
372,Invasive_Tumor
373,Invasive_Tumor
374,Stromal
375,Invasive_Tumor
376,Invasive_Tumor
377,Invasive_Tumor
378,Invasive_Tumor
379,Invasive_Tumor
380,Invasive_Tumor
381,Invasive_Tumor
382,Invasive_Tumor
383,Invasive_Tumor
384,Invasive_Tumor
